id;id_type;sort;attrs_cn;attrs_id;attrs_name;center_x;center_y;extent_ymin;extent_ymax;extent_xmin;extent_xmax;stat_kvartal_total;stat_kvartal_geo;stat_parcel_total;stat_parcel_geo;stat_oks_total;stat_oks_geo
1948;3;3432;34:32;34:32;Фроловский;4874011.94138222;6417956.59448129;6359399.73246821;6485454.6626738;4813062.63405242;4928024.55853649;66;66;18025;12753;7953;686
1949;3;5043;50:43;50:43;г. Ивантеевка;4221049.02439121;7553352.04955236;7549393.32368075;7557132.91892194;4215889.84624154;4227069.32540494;155;155;5340;4119;8809;1185
1950;3;7510;75:10;75:10;Красночикойский;12191267.2169769;6460069.76092114;6326036.91035616;6585898.88509474;11992934.6838955;12373410.9014977;224;224;22026;15002;3794;1209
1951;3;6116;61:16;61:16;Кашарский;4594880.95487609;6281449.97374582;6222617.82220035;6340923.94562014;4546940.44666379;4668097.99977291;275;275;19024;10663;13528;2627
1952;3;1410;14:10;14:10;Вилюйский;13593447.8598361;9455839.26510061;8951302.68629644;10144266.820385;13227662.0449491;14003620.8982682;52;52;23966;9115;13509;1905
1953;3;7305;73:05;73:5;Карсунский;5225225.96279265;7217653.8750466;7170403.18290621;7254777.75864244;5168863.8801533;5289431.88060738;306;306;31941;19748;8329;2298
1954;3;7443;74:43;74:43;Локомотивный;6747001.825;6991054.9696;6983800.55758406;6992965.81186059;6740446.78596591;6749186.83806915;15;15;137;85;303;54
1955;3;2403;24:03;24:3;Балахтинский;10243434.1614258;7424186.19334842;7316306.23899949;7512603.66905865;10084248.1306523;10384126.5357671;749;749;29153;19330;13794;1174
1956;3;5924;59:24;59:24;Кунгурский;6301603.38565661;7859251.56157728;7768786.24662763;7973630.39396167;6216641.55100449;6375835.16739594;526;526;80887;68655;28002;8497
1957;3;8616;86:16;86:16;г. Лангепас;8369084.11762816;8685019.53145729;8676202.98699668;8694889.25610324;8354108.24102651;8379886.54087973;74;74;5716;5440;3421;1223
1958;3;3416;34:16;34:16;Михайловский;4817466.18410804;6474407.11692465;6415934.3218786;6548652.6196378;4747605.78475654;4872497.47711898;93;93;26366;20095;12033;1350
1959;3;7533;75:33;75:33;Агинский;12749202.0768673;6605011.18286215;6527755.37114586;6696869.30223341;12665203.9258003;12909140.2909973;0;0;0;0;0;0
1960;3;6111;61:11;61:11;Заветинский;4882253.11328792;5959033.73436672;5897260.72853732;6032465.019656;4816245.77198732;4934110.20395341;39;39;11189;8532;10297;1379
1961;3;7301;73:01;73:1;Базарносызганский;5200351.79187622;7110726.35834837;7062710.9670482;7157622.37684482;5170271.80477386;5231666.6820437;124;124;5610;1143;2830;311
1962;3;2621;26:21;26:21;г. Буденновск;4911659.48155422;5590470.17786663;5574721.76935059;5598943.2998053;4901453.49396696;4920602.13575008;339;339;20513;8229;17673;2875
1963;3;2499;24:99;24:99;Район для тестирования;;;;;;;0;0;0;0;0;0
1964;3;3430;34:30;34:30;Суровикинский;4784278.11001721;6204169.77490623;6131756.60775699;6269323.53104003;4728406.57958205;4835829.73048042;110;110;21961;10583;19266;1773
1965;3;7532;75:32;75:32;г. Чита;12624208.031114;6808825.84051702;6779325.77002687;6831335.72555004;12593958.565304;12652854.3750997;1121;1121;54373;52764;50263;12729
1966;3;6106;61:06;61:6;Веселовский;4542408.71960567;5967336.83200022;5931318.23713182;6000761.6524792;4507835.97024663;4582640.50439537;274;274;19275;12600;26722;1923
1967;3;5058;50:58;50:58;г. Серпухов;4164480.06493922;7346284.35382625;7340942.85867885;7352777.02229182;4157707.9024402;4171143.72011607;164;164;15202;12120;29696;2435
1968;3;7419;74:19;74:19;Сосновский;6812849.63399681;7405566.33520184;7328133.11555122;7491983.03643053;6756771.36929504;6857972.80167291;1374;1374;125014;107677;55892;20589
1969;3;2627;26:27;26:27;Советский;4891042.0480407;5518657.12046409;5473433.62377265;5560838.99662217;4853767.87029293;4935490.22026147;827;827;36927;11612;27165;2119
1970;3;7312;73:12;73:12;Павловский;5245702.03705029;6930695.8970391;6899907.46494789;6967708.54486865;5209339.85499046;5291405.76118626;115;115;21023;14159;6566;964
1971;3;2446;24:46;24:46;г. Дивногорск;10276838.3995765;7534209.71035068;7499639.58295685;7562118.53474825;10235832.4807029;10317167.5700094;251;251;27300;17403;19540;3031
1972;3;6120;61:20;61:20;Мартыновский;4628096.09388334;5987086.98841573;5957732.15973905;6017842.69815096;4579484.15385314;4690608.17050022;99;99;26919;22420;38861;3151
1973;3;8618;86:18;86:18;г. Радужный;8619079.37779229;8896731.89986443;8876052.06519846;8929671.21227804;8595883.72168956;8639617.55988303;95;95;8397;4724;9228;998
1974;3;5064;50:64;50:64;г. Дзержинский;4212494.65434385;7483887.29306;7478598.25843709;7488606.66265161;4207159.33123036;4217714.92627865;32;32;1360;1340;3491;764
1975;3;7505;75:05;75:5;Газимуро-Заводский;13285454.7990413;6841522.27360083;6673943.43137704;7026908.22929951;13126164.7974017;13416070.402087;102;102;7838;5956;2032;916
1976;3;7314;73:14;73:14;Сенгилеевский;5418353.31438598;7151518.35372685;7114884.47589115;7193768.63139118;5375073.51352475;5461995.14656259;73;73;26567;15411;9051;1701
1977;3;7434;74:34;74:34;Миасский;6681842.35705082;7376193.29019067;7315266.31101173;7445882.3305894;6636733.6053585;6714494.27471654;959;959;68346;40117;55083;9927
1978;3;2601;26:01;26:1;Красногвардейский;4630098.92821838;5749388.61460484;5707768.5941628;5781351.09794337;4582010.57691903;4684654.19164431;1000;1000;25418;12070;17853;1957
1979;3;2458;24:58;24:58;г. Железногорск;10415284.3144412;7612988.25561629;7576313.84598573;7638180.6463587;10391620.3520337;10444644.6577786;197;197;41865;19559;46540;5289
1980;3;8620;86:20;86:20;г. Нефтеюганск;8094234.0456;8646498.2727;8625470.58673808;8657809.03409439;8061861.74230453;8105024.81336542;80;80;7364;6801;9768;2443
1981;3;7520;75:20;75:20;Хилокский;12355346.7002524;6698129.67516266;6571720.22306806;6855525.2488626;12168434.5996171;12510390.2238331;265;265;14139;10814;9664;1454
1982;3;6158;61:58;61:58;город Таганрог;4328351.91114376;5981071.13670211;5972904.20881503;5988746.69179959;4318414.43755972;4337218.65304166;1714;1714;46492;32239;134403;16947
1983;3;7319;73:19;73:19;Ульяновский;5369190.48804649;7231362.80688625;7174485.96653294;7304528.85388416;5332378.74442418;5413645.31609262;327;327;78912;35110;28711;7610
1984;3;7436;74:36;74:36;Челябинский;6835785.8388127;7394176.50292641;7360117.87054269;7424414.8666257;6806473.88509267;6856396.26009469;1644;1644;133476;91184;148794;28959
1985;3;2613;26:13;26:13;Благодарненский;4849254.95867313;5637636.05344075;5593494.95787402;5678773.20502868;4801216.88309185;4902335.76224374;578;578;29565;10426;23374;2256
1986;3;2432;24:32;24:32;Рыбинский;10549377.802725;7557387.04295572;7463890.22404813;7643396.57475252;10476237.5568219;10627444.9142878;374;374;26948;18455;9241;1355
1987;3;8610;86:10;86:10;г. Cургут;8173399.71104723;8692013.54038674;8677104.07825891;8710610.80414533;8150273.83793968;8212625.53084317;249;249;36823;30757;41592;15582
1988;3;3406;34:06;34:6;Еланский;4870980.72185335;6597217.52930842;6528923.17012622;6649821.08193818;4821968.21310558;4927072.76289444;111;111;24795;12581;17340;3154
1989;3;7503;75:03;75:3;Балейский;13008519.7225668;6706623.35535279;6613851.8671607;6788333.11235936;12912604.4930658;13069986.2551745;231;231;13362;8951;6452;539
1990;3;7318;73:18;73:18;Тереньгульский;5366636.43831831;7123442.9970642;7061427.45775895;7189786.14548956;5333532.9007903;5402903.96524161;178;178;31174;18941;8749;1544
1991;3;7441;74:41;74:41;Озерский;6762699.7588414;7498582.78039095;7477222.39466922;7521011.79306726;6747854.15271188;6785090.61652416;344;344;11075;6314;13380;2102
1992;3;7205;72:05;72:5;Вагайский;7745896.58742391;7919424.57724632;7770454.31176078;8108860.40837232;7545396.685621;7887768.46183348;234;234;31110;22312;7900;3210
1993;3;2457;24:57;24:57;г. Шарыпово;9927363.0524;7467223.5872;7435799.1286873;7486749.62180634;9894148.37785922;9932610.64663298;71;71;13725;9112;14438;1245
1994;3;5917;59:17;59:17;Горнозаводский;6531619.89544613;8091091.64974065;7952433.99029483;8234237.05886948;6443494.19084713;6618216.79040337;812;812;23826;16552;11880;1269
1995;3;8904;89:04;89:4;Надымский;8166457.2320542;9831587.53224408;9147474.72449224;10726904.9875086;7640714.71161898;8614341.73125941;81;61;103601;53089;24373;1046
1996;3;7323;73:23;73:23;г. Димитровград;5521648.55980127;7211634.59750496;7204886.41702559;7226839.86135336;5512456.29465135;5535765.33256045;820;820;34871;14803;23419;2657
1997;3;8622;86:22;86:22;г. Югорск;7047761.16012264;8696810.63128144;8680567.6453885;8722474.44970763;7020379.42848691;7067853.69811798;69;69;19891;15718;13965;2642
1998;3;7521;75:21;75:21;Чернышевский;13055389.2287008;6965096.80102028;6822955.98001893;7116935.93248781;12937073.1249041;13183195.2309222;293;293;21058;14127;7808;1291
1999;3;3419;34:19;34:19;Новоаннинский;4755527.47975854;6536464.96372654;6483590.49937709;6598379.8533133;4689227.31097977;4836286.30785707;289;289;31136;16549;17234;2599
2000;3;5037;50:37;50:37;Каширский;4262147.1242055;7315056.95857496;7290373.82779032;7337070.52028609;4225014.81761295;4294573.29609744;477;477;46841;31079;30321;9839
2001;3;7214;72:14;72:14;Сладковский;7810091.46965677;7473640.4823592;7390315.52723095;7551842.93668202;7745806.48877473;7884719.13315429;201;201;23741;19686;3929;1508
2002;3;5926;59:26;59:26;Нытвенский;6163210.08637085;7991474.05638143;7927476.85294739;8053264.61481383;6120552.68158591;6209430.15563979;1317;1317;48773;32955;20575;3648
2003;3;6101;61:01;61:1;Азовский;4373754.07711917;5927571.2634012;5870506.67172155;5981189.36659417;4306456.60771405;4430499.25632282;198;198;113458;83368;90751;14479
2004;3;8909;89:09;89:9;Лабытнанги;7391443.37800343;10060617.0568767;10014181.3651299;10092212.5174596;7365393.54291104;7425433.63603894;76;76;5613;4683;3908;35
2005;3;3401;34:01;34:1;Алексеевский;4698520.60461698;6481940.963494;6431135.65798404;6539194.17504893;4636805.89631542;4757147.92655599;92;92;17399;10509;8670;1607
2006;3;8604;86:04;86:4;Нижневартовский;8876289.32459482;8767600.7266534;8329992.06753417;9138659.83577798;8294377.40653077;9570842.57361713;24;24;61171;53618;85844;19998
2007;3;7440;74:40;74:40;Снежинский;6752600.51240709;7582725.87155529;7546697.0986778;7621758.84347966;6736140.46919889;6772694.56422862;160;160;8463;8196;9497;3451
2008;3;5007;50:07;50:7;Волоколамский;4004176.55208966;7560491.04355551;7500011.50506289;7621503.12015101;3963235.27291179;4046519.34593975;523;523;94791;68298;73852;15466
2009;3;5927;59:27;59:27;Октябрьский;6340415.4487648;7658614.38745407;7579394.21601677;7737808.17241631;6275566.19234186;6394337.78295032;482;482;41863;39364;14269;1925
2010;3;6126;61:26;61:26;Неклиновский;4315457.00235059;5994906.27160435;5960857.87668761;6034548.23408927;4254796.25622307;4381691.22882271;309;309;93287;63340;111457;16544
2011;3;7322;73:22;73:22;г. Барыш;5246020.51524547;7103775.26792968;7098203.27807172;7108937.31609908;5238872.43325426;5254243.39802984;40;40;6290;3693;5701;549
2012;3;8905;89:05;89:5;Пуровский;8614219.33934824;9570005.17920577;8970008.21688436;10365848.7122429;8132509.21364201;8999735.60524044;115;80;174911;166995;68363;16498
2013;3;7439;74:39;74:39;Усть-Катавский;6489936.98995354;7359829.66328171;7329862.22131742;7395168.77329216;6461227.6089332;6530250.59341002;359;359;14115;5639;9381;1123
2014;3;7507;75:07;75:7;Калганский;13240722.9523084;6613133.09329135;6559581.69178471;6685383.20352892;13180443.050234;13310169.0185961;116;116;9731;6500;1860;149
2015;3;7225;72:25;72:25;город Ишим;7734494.72706219;7578667.25898788;7568924.08209794;7585863.56888711;7722325.8219593;7743570.84097939;108;108;28995;22165;17993;4361
2016;3;5041;50:41;50:41;г. Лобня;4170681.15297957;7564074.66595034;7558220.17874878;7572531.59374791;4164380.94443894;4177875.49661526;206;206;10051;7093;13203;1784
