id;id_type;sort;attrs_cn;attrs_id;attrs_name;center_x;center_y;extent_ymin;extent_ymax;extent_xmin;extent_xmax;stat_rayon_total;stat_rayon_geo;stat_kvartal_total;stat_kvartal_geo;stat_parcel_total;stat_parcel_geo;stat_oks_total;stat_oks_geo
80;4;0;79;79;;14722909.4729108;6195211.71701758;6050237.59791961;6359119.61062948;14529451.1083896;15027395.1268357;6;6;2033;2010;113691;108756;43894;6577
81;4;0;77;77;;4159405.60932669;7471485.90527614;7389512.41005709;7562640.67944166;4096905.37394618;4226518.5085356;22;22;3142;3140;348344;272800;588501;231911
82;4;0;65;65;;;;;;;;29;27;1175;699;174320;85836;86345;21404
83;4;0;89;89;;;;;;;;14;14;927;689;407553;263238;177172;22990
84;4;0;85;85;;11599343.6491941;7034287.22773235;6867567.26891914;7182218.00679588;11369183.7760773;11819044.79221;6;6;1361;1361;127077;97972;37997;18856
85;4;0;20;20;;5091111.08948701;5358539.61330801;5232488.87463908;5466988.72160188;4990671.11951377;5194470.46742546;17;17;2351;2351;546935;241610;264002;147651
86;4;0;30;30;;5288965.25907792;5911184.28962927;5609076.31118085;6251741.81901489;5005083.60089507;5581644.23418089;14;14;6282;6268;486473;304695;301902;58617
87;4;0;70;70;;9141302.36767944;8083813.12337898;7480070.1329136;8633777.65091192;8355204.3500989;9949614.44454236;22;22;1944;1944;507482;301295;223039;58353
88;4;0;69;69;;3865422.39058493;7783240.58438475;7485675.80716116;8150866.40638662;3425227.73215528;4266519.29589346;50;50;23778;23778;1204961;667557;569890;118001
89;4;0;75;75;;12947283.9306101;6988609.19033953;6301243.299114;8060154.60864361;11992934.7104744;13597326.9011986;32;32;7949;7948;542687;409652;213060;44511
90;4;0;91;91;;3727206.83362405;5553109.38551614;5494793.71143261;5613958.59366673;3684759.77914434;3773433.82570896;5;5;419;419;112534;103028;150880;36284
91;4;0;01;1;;4451926.1788583;5558925.59341462;5428388.79138921;5655914.06573385;4306302.52144535;4539328.51168707;9;9;6716;6716;275069;217953;189095;39568
